Rk,Player Name,Nationality,Position,Clubs,Age,Born,Match Played,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,Penalty Kicks,Penalty Kicks attempts,Yellow Cards,Red Cards,Expected Goals,Non Penalty Expected Goals,Expected Assists Goals,npxG+xAG,Progressive Carries,Prograssive Passes,Progressive Passes Rec
366,Jacob Murphy,eng ENG,FW,Newcastle Utd,27,1995,36,14,"1,251",13.9,4,2,6,4,0,0,0,0,3.3,3.3,2.8,6.1,66,57,141
367,Enock Mwepu,zm ZAM,"FW,MF",Brighton,24,1998,6,2,213,2.4,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,5,6,17
368,Vitaliy Mykolenko,ua UKR,DF,Everton,23,1999,34,30,"2,655",29.5,0,0,0,0,0,0,4,0,0.5,0.5,1.2,1.8,31,100,72
369,Keylor Navas,cr CRC,GK,Nott'ham Forest,35,1986,17,17,"1,529",17,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
370,Wilfred Ndidi,ng NGA,MF,Leicester City,25,1996,27,19,"1,679",18.7,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,11,51,7
371,Reiss Nelson,eng ENG,FW,Arsenal,22,1999,11,0,212,2.4,3,2,5,3,0,0,0,0,1.1,1.1,1.4,2.5,19,6,34
372,Neto,br BRA,GK,Bournemouth,33,1989,27,27,"2,385",26.5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
373,Pedro Neto,pt POR,"FW,MF",Wolves,22,2000,18,13,964,10.7,0,0,0,0,0,0,1,0,1.1,1.1,2.1,3.2,37,24,111
374,Rúben Neves,pt POR,MF,Wolves,25,1997,35,33,"3,019",33.5,6,1,7,3,3,3,12,0,5.2,2.8,1.6,4.4,28,218,18
375,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,26,1996,14,14,"1,163",12.9,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,2,15,3
376,Rasmus Nissen,dk DEN,DF,Leeds United,25,1997,26,21,"1,960",21.8,3,1,4,3,0,0,4,0,0.8,0.8,1,1.9,15,89,70
377,Eddie Nketiah,eng ENG,FW,Arsenal,23,1999,30,9,"1,089",12.1,4,1,5,4,0,0,3,0,8.2,8.2,1.3,9.5,32,15,82
378,Matheus Nunes,pt POR,MF,Wolves,23,1998,34,30,"2,467",27.4,1,1,2,1,0,0,2,1,2.4,2.4,2.2,4.7,59,84,129
379,Darwin Núñez,uy URU,FW,Liverpool,23,1999,29,19,"1,695",18.8,9,3,12,9,0,0,1,1,12.1,12.1,5.4,17.5,61,29,181
380,Ethan Nwaneri,eng ENG,FW,Arsenal,15,2007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,Christian Nørgaard,dk DEN,MF,Brentford,28,1994,22,21,"1,763",19.6,1,3,4,1,0,0,6,0,1.6,1.6,3.1,4.7,4,73,8
382,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,23,1998,13,6,584,6.5,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,13,21,3
383,Odeluga Offiah,eng ENG,DF,Brighton,19,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
384,Angelo Ogbonna,it ITA,DF,West Ham,34,1988,16,13,"1,237",13.7,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0,11,2
385,Michael Olise,fr FRA,"FW,MF",Crystal Palace,20,2001,37,31,"2,749",30.5,2,11,13,2,0,0,2,0,2.9,2.9,8.7,11.6,111,133,243
386,Robin Olsen,se SWE,GK,Aston Villa,32,1990,4,2,281,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,Amadou Onana,be BEL,MF,Everton,20,2001,33,29,"2,488",27.6,1,2,3,1,0,0,9,0,3,3,2.6,5.6,27,79,49
388,Josh Onomah,eng ENG,MF,Fulham,25,1997,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
389,Paul Onuachu,ng NGA,FW,Southampton,28,1994,11,4,407,4.5,0,0,0,0,0,0,0,0,1.3,1.3,0.1,1.4,1,7,22
390,Frank Onyeka,ng NGA,MF,Brentford,24,1998,21,8,848,9.4,0,2,2,0,0,0,0,0,1,1,0.6,1.7,9,28,21
391,Mislav Oršić,hr CRO,MF,Southampton,29,1992,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,Stefan Ortega,de GER,GK,Manchester City,29,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,Dango Ouattara,bf BFA,"MF,FW",Bournemouth,20,2002,19,15,"1,241",13.8,1,3,4,1,0,0,1,0,3.6,3.6,2.5,6.1,39,23,87
394,Alex Oxlade-Chamberlain,eng ENG,"FW,MF",Liverpool,28,1993,9,4,335,3.7,1,0,1,1,0,0,0,0,1.3,1.3,0.9,2.2,11,14,28
395,David Ozoh,eng ENG,FW,Crystal Palace,17,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,João Palhinha,pt POR,MF,Fulham,27,1995,35,35,"3,108",34.5,3,0,3,3,0,0,14,0,2.9,2.9,0.4,3.3,8,101,18
397,Cole Palmer,eng ENG,"MF,FW",Manchester City,20,2002,14,2,370,4.1,0,1,1,0,0,0,1,0,1.2,1.2,0.6,1.8,29,13,40
398,Emerson Palmieri,it ITA,DF,West Ham,27,1994,22,16,"1,320",14.7,1,0,1,1,0,0,2,0,0.8,0.8,0.9,1.7,38,45,57
399,Lucas Paquetá,br BRA,MF,West Ham,24,1997,28,27,"2,151",23.9,4,3,7,3,1,1,5,0,4.4,3.6,2.5,6.1,25,147,63
400,Thomas Partey,gh GHA,MF,Arsenal,29,1993,33,28,"2,483",27.6,3,0,3,3,0,0,5,0,2.2,2.2,1.5,3.8,34,231,35
401,Nathan Patterson,sct SCO,"DF,MF",Everton,20,2001,19,14,"1,279",14.2,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,16,24,51
402,Ben Pearson,eng ENG,MF,Bournemouth,27,1995,7,3,286,3.2,0,0,0,0,0,0,1,0,0,0,0,0,2,5,4
403,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,20,2001,4,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
404,Andreas Pereira,br BRA,MF,Fulham,26,1996,33,33,"2,692",29.9,4,6,10,3,1,1,8,0,7.3,6.5,5.2,11.7,53,121,133
405,Ricardo Pereira,pt POR,"DF,MF",Leicester City,28,1993,10,5,454,5,1,1,2,1,0,0,2,0,0.1,0.1,0.6,0.7,5,27,14
406,Ayoze Pérez,es ESP,"MF,FW",Leicester City,29,1993,8,3,382,4.2,0,1,1,0,0,0,0,0,1.1,1.1,1.5,2.6,17,20,43
407,Ivan Perišić,hr CRO,"DF,MF",Tottenham,33,1989,34,23,"2,108",23.4,1,8,9,1,0,0,6,0,2.6,2.6,6.1,8.8,87,61,181
408,Romain Perraud,fr FRA,DF,Southampton,24,1997,29,22,"1,835",20.4,2,2,4,2,0,0,4,0,1.3,1.3,1.9,3.2,33,62,122
409,Máximo Perrone,ar ARG,MF,Manchester City,19,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
410,Cameron Peupion,au AUS,MF,Brighton,19,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,2
411,Kalvin Phillips,eng ENG,MF,Manchester City,26,1995,12,2,300,3.3,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,1,18,2
412,Nathaniel Phillips,eng ENG,DF,Liverpool,25,1997,2,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
413,Jordan Pickford,eng ENG,GK,Everton,28,1994,37,37,"3,330",37,0,1,1,0,0,0,6,0,0,0,0.1,0.1,0,2,0
414,Ethan Pinnock,jm JAM,DF,Brentford,29,1993,30,30,"2,700",30,3,0,3,3,0,0,0,0,3,3,1,4,2,52,16
415,Daniel Podence,pt POR,"FW,MF",Wolves,26,1995,32,20,"1,771",19.7,6,0,6,6,0,0,5,0,3.9,3.9,2.5,6.4,43,95,148
416,Nick Pope,eng ENG,GK,Newcastle Utd,30,1992,37,37,"3,261",36.2,0,0,0,0,0,0,3,1,0,0,0.1,0.1,0,1,0
417,Pedro Porro,es ESP,"DF,MF",Tottenham,22,1999,15,13,"1,131",12.6,3,3,6,3,0,0,0,0,1.8,1.8,3,4.8,34,39,95
418,Dennis Praet,be BEL,"MF,FW",Leicester City,28,1994,22,6,649,7.2,1,0,1,1,0,0,1,0,1,1,0.5,1.5,15,17,42
419,Isaac Price,nir NIR,MF,Everton,18,2003,1,0,33,0.4,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,1,0
420,Christian Pulisic,us USA,"FW,DF",Chelsea,23,1998,24,8,821,9.1,1,1,2,1,0,0,1,0,1.7,1.7,0.7,2.4,35,23,76
